class,description
288,Chidren to become experts in weaving handmade Thai North Eastern fabric
289,หนังสือเพื่อน้อง
290,Cloud Wanderer World Tour Concert
291,ตะกร้าผักอินทรีย์ส่งถึงบ้าน ช่วยสนับสนุนเกษตรกรรายย่อย
292,ชวนน้องดูนก (Bird Walk)
293,คืนอาชีพไกด์ดำน้ำให้คนไทย
294,Take Kids to a Zoo 
295,Build vegetable sets: create income for students 
296,เพาะต้นกล้านักวิทย์ในโรงเรียนขาดแคลน 100 โรงเรียน มอบนิตยสารวิทยาศาสตร์ Go Genius แก่โรงเรียนตลอด 1 ปี
297,Develop little athletes from a hill 
298,ส่งหนังสือไปโรงเรียนชายแดน
299,สร้างเครื่องฆ่าเชื้อในอากาศ ลดวัณโรคปอดในเด็ก
300,กล่องข้าวเพื่อเด็ก
301,DHAM DOCUMENTARIES
302,สนามเด็กเล่นเพื่อเด็กห่างไกลได้พัฒนาการ
303,Happy Dolls ให้เด็กเนปาล
304,สาระดีชุมนุม บันทึกประวัติศาสตร์สังคม
305,Teaching Budget For Thais Local Students to become Dive Master
306,สร้างจุดสกัด ‘ล่าสัตว์-ตัดไม้’ ทุ่งใหญ่นเรศวร
307,โครงการจัดตั้งสถาบันวานิตาเพื่อพัฒนาวิสาหกิจชุมชน (WANITA Economic Empowerment Academy)
308,[ทดสอบจาก opendream นะครับ]
309,เพาะต้นกล้านักวิทย์ในโรงเรียนขาดแคลน 100 โรงเรียน ด้วยนิตยสารวิทยาศาสตร์สำหรับเยาวชน
310,หนูอยากได้ยินเสียงแม่
311,แบ่งปันหัวใจให้ป่า
312,เปลี่ยนน้ำมันทอดซ้ำเป็นไบโอดีเซลรถพยาบาล
313,โครงการอาหารมื้อนี้พี่ทำเอง (อาหารกลางวันและอาหารเย็นของน้องๆ)
314,แปลงดาดฟ้าเป็นสวนผัก
315,ห่มรัก ห่มใจ ชายแดนใต้
316,ใส่รองเท้าไปโรงเรียน
317,เยาวชนรุ่นใหม่ห่วงใยผู้สูงอายุ
318,ปั้น 'สื่อกีฬาพลเมือง' สานฝันเพื่อผองเพื่อนเป็น ‘ยอดนักกีฬา’ 
319,สร้างแอพแชท โดยเด็กไทย ม5.
320,จักรยานเพื่อน้องไปโรงเรียน
321,คาราวาน  ลานแต้มรัก  เติมสุข  แด่น้องชนบท
322,ตู้ปันนิทาน๑4๑ เพื่อเด็กชนบท
323, บัวน้อยวรรณกรรมเพื่องานอนุรักษ์สัตว์ป่า
324,Roof top organic vegetables garden project
325,สร้างบรรยากาศเย็นสบายให้น้องนักเรียนในชนบท
326,เติมรอยยิ้มให้เด็กดี
327,สร้างโรงอาหารเพื่อเด็กบ้านแม่แพน้อย 
328,Happy Dolls for Nepali Kids
329,Build the interception post on Thung Yai Naresuan
330,BookMobile ห้องสมุดสี่ล้อ
331,บัตรวัดธนบัตรอักษรเบรลล์
332,เว็บไซต์เพื่อน้องๆด้อยโอกาส
333,\"Project Long Hand\"   Long Hand Long Rest for Long Life
334,เรียนคณิตศาสตร์ออนไลน์ระดับมัธยมศึกษา
335,สร้างบ้านเพื่อยายนอนหลับ (ยายทรัพย์ สายทอง)
336,ไข่ไก่เพื่ออาหารกลางวันโรงเรียนบ้านมาบเหียง
337,Produce ultraviolet Sanitizers for welfare institutes and hospitals
338,เข็มนี้พี่ให้น้องสี่ขา
339,BookMobile
340,Bicycle for Students in Nan
341,Reduce the gasoline consumption fee in Aum Phang hospital 
342,Books for Schools on the Borders 
343,ช่วยเด็ก-ครอบครัวผู้ลี้ภัยในยุโรป
344,ผลิตสื่อ \"หนังสั้นป่าชุมชน\"
345,หาทุนปรับปรุงห้องสันทนาการ  สร้างห้องดนตรีและซ้อมร้องเพลงและปรับปรุงสนามกีฬาโรงเรียนในบ้านเกิด
346,โรงเรียนสร้างความเป็นมนุษย์ผู้สร้างสรรค์(ญุโปสรณ์)
347,สร้างแพล็ตฟอร์มจิตอาสาเพื่อสังคมไทย
348,ร่วมใจสร้างแพล็ตฟอร์มจิตอาสาเพื่อสังคมไทย
349,สเปรย์สมุนไพรจีน แก้ปวดเมื่อย 
350,โครงการสร้างสรรค์ภาพยนตร์สั้นสะท้อนปัญหาความรุนแรงในสังคมเด็กมัธยมโรงเรียนประจำ
351,\"ร้านผ้าสร้างสุข\" กองทุนคนชายขอบ
352,“อุปกรณ์การแพทย์ยืมได้” เพื่อผู้สูงอายุ-พิการ
353,เสื้อดำ...ธรรมดี พัฒนาโรงเรียนเพื่อน้องในพื้นที่ห่างไกล ครั้งที่ 10
354,โครงการจิตอาสา ครั้งที่ 6 “สร้างอาคารอเนกประสงค์เพื่อชุมชน ณ  โรงเรียนบ้านในดง”
355,สอนภาษาอังกฤษฟรีให้เด็กชนบท
356,รถเมล์ตามเด็กหายกลับบ้าน
357,โครงการพี่สอนน้อง
358,ส่งของขวัญปีใหม่ให้เด็กป่วยเรื้อรังในโรงพยาบาล
359,ปลูกผักอิ่มท้อง สร้างรายได้
360,กระตุ้นเศรษฐกิจชาติ ทำลายกำแพงภาษา ส่งออกได้ทั่วโลก
361,โฮงเฮียนแม่น้ำของ สนามเรียนรู้นิเวศน์วัฒนธรรม
362,ร่วมใจสร้างสรรค์กิจกรรมเพื่อสุนทรียภาพที่ดีทางอารมณ์และสังคมของผู้สูงอายุและผู้พิการ
363,Rhythm of Hope ดนตรีสร้างเกราะป้องกันยาเสพติด
364,ปล่อยหอยชักตีนลงแปลงอนุรักษ์ เกาะศรีบอยา จ.กระบี่
365,เปลผู้ป่วย
366,Vaccination project for stray animals
367,สร้างศาลาอเนกประสงค์เพื่อโรงเรียนบ้านเกิด(รร.บ้านวังเสมา)
368,Moody Twenties เว็บบล็อกบอกเล่าประสบการณ์เจ็บแต่จริงจากสองมนุษย์ไบโพลาร์
369,1 care 1 share เพื่อชีวิตใหม่ของเพื่อนในที่สาธารณะ
370,โรงพยาบาลสัตว์น้ำเคลื่อนที่
371,สนับสนุนอุปกรณ์เพื่อทำกิจกรรมการเรียนรู้สำหรับเด็กในคาบอิสระ
372,โครงการ \"สร้างครูผู้นำ ผู้นำสร้างสังคม\"
373,เพิ่มพื้นที่สีเขียวด้วยมือเรา
374,พามนุษย์ล้อไปดำน้ำใต้ทะเล
375,นิทรรศการพัฒนาศักยภาพ และส่งมอบของบริจาคจาก6มหาวิทยาลัย สู่6ภาคทั่วไทย
376,หาทุนให้น้องเรียน เพื่อเป็นของขวัญ
377,โครงการ \"ปันยิ้ม อิ่มสุข\"
378,Bangkok Screening Room project
379,ตู้ไอติมแห่งฟาร์มสุข #2
380,Bangkok Screening Room (BKKSR) 
381,ไม่มีแมง(แมลง) ไม่มีป่า(ป่าสาคู)
382,Mobile aquatic animal veterinary medical units
383,Happy clothes
384,กล้องจุลทรรศน์จิ๋วสำหรับนักเรียนโรงเรียนชายแดนภาคใต้
385,Cultivation for Life for Income
386,Rhythm of Hope
387,1 care 1 share for the new life of homeless people
388,Bringing wheelchair user to explore the depth of the sea.
389,กาแฟมูเซอเพื่ออาชีพผู้ดูแลป่าต้นน้ำ
390,ออมเงินด้วยขยะรีไซเคิล
391,ฟื้นฟูโครงการสำรวจโลก 15 ปีต้านภัยหนาว
392,Advertising boards on public busses to help find missing children
393,9forchild พาน้องเที่ยวพิพิธภัณฑ์เด็ก
394,Muser Coffee: Organic coffee for forest conservation
395,ปีนเพื่อเปลี่ยนชีวิต : พาเด็กพิการ 30 ชีวิต พิชิตยอดเขา
396,PHASE1: สร้างตึกคลอดบุตร รพ.อุ้มผาง
397,โรงอาหารโรงเรียนบ้านแม่แพน้อย
398,Overall information for the Farmsook Ice-cream Project #2
399,โครงการสืบสานพิทักษ์รักษ์วิถีชุมชนม่อนจอง
400,เล่นดนตรี สอนลีลาศแก่ผู้บกพร่องทางสายตา
401,ลานกีฬา  ชีวาสดใส
402,สร้างห้องบันทึกเสียงสำหรับผู้ป่วยโรคซึมเศร้าเด็ก  ผู้พิการและผู้สูงอายุ
403,สานฝันปันรู้ สู่น้องชายแดนใต้
404,ถังเก็บน้ำให้โรงเรียนบ้านห้วยกุ้งในหน้าแล้ง
405,ส่งหนังสือไปโรงเรียน 3 จังหวัดภาคใต้
406,Undergrad Rewrite เมื่อหนังสือตามล่าเนื้อหา
407,แว่นตาให้น้อง
408,มอบรักให้น้องผู้ลี้ภัย มอบความห่วงใยด้วยมื้อกลางวัน มื้อละ 30 บาท
409,โครงการสืบสานพิทักษ์รักษ์วิถีชุมชน ม่อนจอง
410,ลดน้องเหมียวไร้บ้าน ด้วยการทำหมันแมว#2
411,เครื่องช่วยยกตัวเพื่อเด็กพิการ
412,How to Find Equity Loan Bargains @ http://www.minicredit4u.co.uk/
413,มอบไฟฟ้าพลังงานแสงอาทิตย์ให้แก่โรงเรียนยากไร้ในกัมพูชา
414,แลกป่าเมืองน่าน
415,Eye(glasses) for Child
416,Books donation for School in Three Southern Border Area. 
417,พาเด็กป่วยหนักเรื้อรังไปเรียนรู้โลกกว้าง 
418,Help Homeless Cat by Sterilization#2
419,สอนน้องสร้างอาชีพ(ชมรมอนุรักษ์เครื่องไทย)
